year,tournament_id,match_id,stage_name,group_name,match_date,match_time,stadium_name,country_name,country_id_iso_3,knockout_stage,team_a_id_iso_3,team_a_name,team_a_code,team_b_id_iso_3,team_b_name,team_b_code,score,team_a_score,team_b_score,team_a_score_margin,team_b_score_margin,extra_time,penalty_shootout,score_penalties,team_a_score_penalties,team_b_score_penalties,team_a_win,team_b_win,draw
1991,WC-1991,M-1991-1,Groups,Group A,1991-11-16,20:45:00,Tianhe Stadium, China PR ,CHN,0,CHN,China PR,CHN,NOR,Norway,NOR,4 - 0,4,0,4,-4,0,0,,0,0,1,0,0
1991,WC-1991,M-1991-6,Groups,Group C,1991-11-17,15:30:00,Jiangmen Stadium, China PR ,CHN,0,DEU,Germany,DEU,NGA,Nigeria,NGA,4 - 0,4,0,4,-4,0,0,,0,0,1,0,0
1991,WC-1991,M-1991-2,Groups,Group A,1991-11-17,19:45:00,Tianhe Stadium, China PR ,CHN,0,DNK,Denmark,DNK,NZL,New Zealand,NZL,3 - 0,3,0,3,-3,0,0,,0,0,1,0,0
1991,WC-1991,M-1991-3,Groups,Group B,1991-11-17,19:45:00,New Plaza Stadium, China PR ,CHN,0,JPN,Japan,JPN,BRA,Brazil,BRA,0 - 1,0,1,-1,1,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-4,Groups,Group B,1991-11-17,19:45:00,Ying Dong Stadium, China PR ,CHN,0,SWE,Sweden,SWE,USA,USA,USA,2 - 3,2,3,-1,1,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-5,Groups,Group C,1991-11-17,19:45:00,Jiangmen Stadium, China PR ,CHN,0,TWN,Chinese Taipei,TWN,ITA,Italy,ITA,0 - 5,0,5,-5,5,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-8,Groups,Group A,1991-11-19,15:30:00,Guangdong Provincial Stadium, China PR ,CHN,0,NOR,Norway,NOR,NZL,New Zealand,NZL,4 - 0,4,0,4,-4,0,0,,0,0,1,0,0
1991,WC-1991,M-1991-12,Groups,Group C,1991-11-19,15:30:00,Zhongshan Stadium, China PR ,CHN,0,ITA,Italy,ITA,NGA,Nigeria,NGA,1 - 0,1,0,1,-1,0,0,,0,0,1,0,0
1991,WC-1991,M-1991-7,Groups,Group A,1991-11-19,19:45:00,Guangdong Provincial Stadium, China PR ,CHN,0,CHN,China PR,CHN,DNK,Denmark,DNK,2 - 2,2,2,0,0,0,0,,0,0,0,0,1
1991,WC-1991,M-1991-9,Groups,Group B,1991-11-19,19:45:00,New Plaza Stadium, China PR ,CHN,0,JPN,Japan,JPN,SWE,Sweden,SWE,0 - 8,0,8,-8,8,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-10,Groups,Group B,1991-11-19,19:45:00,Ying Dong Stadium, China PR ,CHN,0,BRA,Brazil,BRA,USA,USA,USA,0 - 5,0,5,-5,5,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-11,Groups,Group C,1991-11-19,19:45:00,Zhongshan Stadium, China PR ,CHN,0,TWN,Chinese Taipei,TWN,DEU,Germany,DEU,0 - 3,0,3,-3,3,0,0,,0,0,0,1,0
1991,WC-1991,M-1991-15,Groups,Group B,1991-11-21,15:30:00,New Plaza Stadium, China PR ,CHN,0,JPN,Japan,JPN,USA,USA,USA,0 - 3,0,3,-3,3,0,0,,0,0,0,1,0
